genre_kids,duration,genre_family,genre_international,genre_drama,title_len,release_year,director_freq_log,years_to_platform,has_kids_words,has_mature_words,is_long_duration,genre_comedy,description_len,genre_romantic,year_added,cast_count,genre_crime,is_movie,genre_horror,genre_action,month_added,rating
0,1.0,0,0,0,7,2021,7.850103545175582,0,0,0,0,0,152,0,2021,7,1,0,0,1,9,adult
0,115.0,0,1,1,7,2020,0.6931471805599453,1,0,0,0,0,123,1,2021,8,0,1,0,0,9,teen
0,95.0,1,0,0,18,2004,0.6931471805599453,17,0,0,0,0,144,0,2021,15,0,1,0,0,9,teen
0,115.0,0,1,1,31,2017,1.3862943611198906,4,1,1,0,0,130,0,2021,10,0,1,0,0,9,teen
0,108.0,0,0,1,18,2005,1.791759469228055,16,0,0,0,0,130,0,2021,10,0,1,0,0,9,teen
0,63.0,1,0,0,26,2021,0.6931471805599453,0,0,0,0,0,133,0,2021,5,0,1,0,0,9,kids
0,1.0,0,1,0,21,2021,7.850103545175582,0,1,0,0,0,149,0,2021,15,0,0,0,1,9,adult
0,121.0,0,0,0,7,2015,1.0986122886681096,6,0,1,1,0,153,0,2021,10,0,1,0,1,9,adult
0,108.0,0,0,1,9,2010,1.791759469228055,11,0,0,0,0,152,1,2021,10,0,1,0,0,9,teen
0,100.0,0,1,1,35,2014,1.3862943611198906,7,0,1,0,0,150,0,2021,7,0,1,0,0,9,adult
0,82.0,0,0,0,10,2015,1.3862943611198906,6,0,0,0,0,143,0,2021,8,0,1,0,1,9,adult
0,124.0,0,0,1,15,2007,1.0986122886681096,14,0,0,1,0,147,0,2021,12,0,1,0,0,9,teen
0,114.0,0,0,0,13,2011,1.3862943611198906,10,0,0,0,0,151,0,2021,8,0,1,0,1,9,teen
0,1.0,0,0,0,18,2021,7.850103545175582,0,0,0,0,0,148,0,2021,1,0,0,0,0,9,teen
0,1.0,0,0,0,10,2020,0.6931471805599453,1,1,0,0,0,142,0,2021,8,0,0,0,0,9,teen
0,109.0,0,1,0,9,2005,0.6931471805599453,16,0,0,0,0,133,0,2021,8,0,1,0,1,9,teen
0,88.0,0,0,0,29,2016,0.6931471805599453,5,0,0,0,0,144,0,2021,5,0,1,0,0,9,adult
1,2.0,0,0,0,10,2016,7.850103545175582,5,1,0,0,0,149,0,2021,5,0,0,0,0,9,kids
0,3.0,0,1,0,19,2015,7.850103545175582,6,1,0,0,0,138,0,2021,18,0,0,0,0,9,adult
0,105.0,0,0,1,17,2010,0.6931471805599453,11,0,0,0,0,148,1,2021,13,0,1,0,0,9,teen
0,102.0,0,0,0,8,2018,0.6931471805599453,3,0,0,0,0,149,0,2021,8,0,1,0,0,9,teen
0,103.0,0,1,1,14,2010,1.3862943611198906,11,0,0,0,0,154,0,2021,10,0,1,0,0,9,adult
0,118.0,0,0,1,8,2017,1.0986122886681096,4,0,0,0,0,147,0,2021,10,0,1,0,0,9,teen
0,1.0,0,1,0,8,2019,7.850103545175582,2,0,0,0,0,140,0,2021,9,1,0,0,0,9,adult
0,76.0,1,0,0,13,2008,0.6931471805599453,13,0,0,0,0,140,0,2021,11,0,1,0,0,9,teen
0,98.0,0,0,1,8,2006,0.6931471805599453,15,0,0,0,0,150,0,2021,9,0,1,0,1,9,teen
0,120.0,0,0,1,28,2017,0.6931471805599453,4,0,0,0,0,139,0,2021,5,0,1,0,0,9,teen
0,83.0,0,0,0,21,2015,0.6931471805599453,6,0,0,0,0,146,0,2021,1,0,1,0,0,9,teen
0,112.0,0,0,0,13,2014,0.6931471805599453,7,0,0,0,0,152,0,2021,8,0,1,0,1,9,adult
0,1.0,0,0,0,41,2021,7.850103545175582,0,0,1,0,0,144,0,2021,1,0,0,0,0,9,teen
0,114.0,0,0,0,27,2008,1.0986122886681096,13,0,0,0,0,147,0,2021,10,0,1,0,0,9,teen
0,1.0,0,0,0,12,2021,7.850103545175582,0,0,0,0,0,148,0,2021,1,0,0,0,0,8,teen
0,86.0,0,0,0,25,2021,1.0986122886681096,0,0,1,0,0,155,0,2021,1,0,1,0,0,8,adult
0,1.0,0,1,0,20,2021,7.850103545175582,0,0,0,0,0,149,1,2021,10,0,0,0,0,8,teen
0,1.0,0,1,0,33,2021,7.850103545175582,0,0,0,0,0,123,0,2021,1,0,0,0,0,8,kids
0,97.0,0,1,0,16,2008,0.6931471805599453,13,0,0,0,0,150,0,2021,8,0,1,0,0,8,adult
1,2.0,0,0,0,16,2020,7.850103545175582,1,0,0,0,0,141,0,2021,7,0,0,0,0,8,kids
0,125.0,0,1,1,10,2021,0.6931471805599453,0,0,1,1,0,147,0,2021,3,0,1,0,0,8,teen
0,107.0,0,0,1,10,2017,0.6931471805599453,4,0,1,0,0,150,0,2021,15,0,1,0,0,8,adult
0,127.0,0,1,0,10,2008,1.3862943611198906,13,0,1,1,0,144,0,2021,7,0,1,0,1,8,teen
0,1.0,0,1,1,4,2021,7.850103545175582,0,0,0,0,0,143,0,2021,4,0,0,0,0,8,adult
0,128.0,0,1,1,31,2008,0.6931471805599453,13,0,0,1,0,127,0,2021,10,0,1,0,0,8,teen
0,92.0,0,0,0,13,2021,1.3862943611198906,0,0,0,0,0,153,1,2021,10,0,1,0,0,8,teen
1,1.0,0,0,0,12,2021,7.850103545175582,0,0,0,0,0,150,0,2021,13,0,0,0,0,8,kids
0,1.0,0,1,1,36,2021,1.3862943611198906,0,0,1,0,0,130,0,2021,16,1,0,0,0,8,adult
0,135.0,0,1,1,10,2006,0.6931471805599453,15,0,0,1,0,145,0,2021,8,0,1,0,0,8,teen
0,124.0,0,1,0,15,2004,0.6931471805599453,17,0,0,1,0,115,0,2021,8,0,1,1,1,8,teen
0,165.0,0,1,0,17,2005,1.0986122886681096,16,0,0,1,0,137,0,2021,6,0,1,0,0,8,adult
0,124.0,0,1,0,20,2016,0.6931471805599453,5,1,0,1,0,147,0,2021,10,0,1,0,0,8,adult
0,136.0,0,1,0,24,2012,1.3862943611198906,9,0,0,1,0,138,0,2021,9,0,1,0,0,8,adult
0,112.0,0,1,1,25,2010,1.6094379124341003,11,0,0,0,0,125,0,2021,7,0,1,0,0,8,adult
0,119.0,0,1,0,41,2008,1.0986122886681096,13,0,0,0,0,124,0,2021,7,0,1,0,1,8,teen
